file,layer,format,row_count,primary_key,important_fields,consumer_purpose
layer45_operational_state_vector.csv,L4.5,csv,3498,event_id,"duration_pred,duration_p50/p80/p95,high_impact_prob_calibrated,novelty_score,drift_score,fragility_signal,obi_signal,tail_risk_prob,duration_sanity_flag","Operational State Engine: per-event predictive state for live risk scoring"
layer45_operational_state_vector_normalized.csv,L4.5,csv,3498,event_id,"*_z robust z-scores (novelty_score_z,drift_score_z,fragility_signal_z,obi_signal_z,tail_risk_prob_z)","Operational Risk Score: normalized signal blend"
layer45_scenario_ready_duration.csv,L4.5,csv,3498,event_id,"safe_duration_p50/p80/p95,duration_reliability,tail_risk_prob,duration_sanity_flag,duration_guard_reason","Explainability: sanitized duration backing for recommendations"
layer45_deployment_state_vector_normalized.csv,L4.5,csv,3498,event_id,"duration_pred,high_impact_prob_calibrated,*_z","Operational State Engine: deployment-mode inference snapshot"
layer45_metrics.csv,L4.5,csv,66,"subset,task,metric","value","Model Health: backtest RMSE/RMSLE/Brier baselines"
layer45_feature_registry.json,L4.5,json,NA,feature_name,"leakage_status,availability,used_in_training","Explainability: feature provenance / leakage audit"
layer3_disruption_impact_scores.csv,L3,csv,294,junction,"dis_score,risk_level,obi_component,hawkes_component,future_risk_component","Operational State Engine: spatial DIS context for site enrichment"
layer3_diversion_recommendations.csv,L3,csv,90,"junction,route_rank","diversion_corridor,diversion_path,route_cost,estimated_additional_time_min","Recommendations: corridor diversion route lookup"
layer3_full_dashboard.csv,L3,csv,294,junction,"dis_score,risk_level,ods_score,officers,barricades,closure_type","Dashboard: junction-level planning context"
layer3_corridor_fragility.csv,L3,csv,22,corridor,"branching_ratio,current_fragility,fragility_practical,fragility_reliable","Operational State Engine: corridor fragility context"
layer5_resource_allocation.csv,L5,csv,50,event_id,"officers/barricades/tow_trucks/qru_allocated,diversion_activated,effectiveness,service_tier,robustness_score,violation_flag,solver_status,used_fallback","Recommendations: canonical deployment plan per active site"
layer5_frontend_export.csv,L5,csv,50,event_id,"officers_allocated,diversion_activated,baseline_cvar,optimized_cvar,robustness_score,service_tier,violation_flag","Dashboard: resource recommendation page source"
layer5_diversion_recommendations.csv,L5,csv,30,"event_id,route_rank","diversion_corridor,diversion_path,path_cost,estimated_additional_time_min,routing_method","Recommendations: optimizer-selected diversion routes"
layer5_robust_plan.csv,L5,csv,50,event_id,"p95_delay_optimized,p95_delay_no_resources,p95_delay_reduction_pct,site_cvar_90","Explainability: value-of-optimization per site"
layer5_alternative_plans.csv,L5,csv,150,"plan,event_id","officers_allocated,diversion_activated,effectiveness (Plans A/B/C)","Human Override Engine: alternative plan selection"
layer5_cvar_summary.csv,L5,csv,9,"alpha,service_tier","cvar,var,expected_total_delay","Dashboard: tail-risk KPI"
layer5_baseline_cvar_summary.csv,L5,csv,5,alpha,"baseline_cvar,baseline_var","Dashboard: pre-optimization CVaR reference"
layer5_pre_post_cvar_comparison.csv,L5,csv,5,"scope,alpha","absolute_reduction,percentage_reduction","Dashboard: optimization-value KPI"
layer5_chance_constraint_violations.csv,L5,csv,1,event_id,"service_tier,required_prob,realized_satisfaction_rate,violation_margin","Alerting Engine: hard-constraint violation alerts"
layer5_shadow_prices.csv,L5,csv,4,resource,"marginal_value,interpretation","Dashboard: budget marginal-value KPI"
layer5_sensitivity_summary.csv,L5,csv,26,"sensitivity_type,resource,multiplier","objective,solver_success","Simulation: budget/alpha what-if reference"
layer5_optimization_metrics.csv,L5,csv,20,metric,"value (expected_delay_reduction_pct,cvar_90,cc_satisfaction_mean,totals)","Operational State + Dashboard: batch-level optimization KPIs"
layer5_scenario_summary.csv,L5,csv,50,scenario,"raw_total_delay,optimized_total_delay,reduction_pct,is_tail_scenario","Simulation: scenario realization reference"
layer5_pareto_front.csv,L5,csv,0,"lambda_cvar,lambda_cost","cvar_90,deployment_cost,objective","Dashboard: cost/risk tradeoff (MAY BE EMPTY)"
layer6_active_alerts.csv,L6,csv,37,alert_id,"source,severity,affected_layer,description,generated_at","Alerting Engine: primary alert feed"
layer6_retrain_triggers.csv,L6,csv,32,trigger_id,"source_module,signal_type,severity,recommendation,affected_layer,action,generated_at","Alerting Engine: retrain/action recommendations"
layer6_model_health_summary.csv,L6,csv,20,"metric_group,metric","holdout_value,feedback_value,relative_change,status,overall_health","Model Health page: per-metric health dashboard"
layer6_drift_report.csv,L6,csv,7,"test,variable","score,threshold,alert,severity,retrain_urgency","Model Health: drift test panel"
layer6_monitoring_diagnostics.csv,L6,csv,22,"diagnostic_group,metric","value,flag,notes","Model Health: entropy/KRS/redundancy/urgency"
layer6_calibration_posteriors.csv,L6,csv,10,bin_idx,"posterior_mean,ece_before_update,ece_after_update,brier_calibrated","Model Health: calibration panel"
layer6_recalibration_recommendations.csv,L6,csv,10,bin_idx,"priority,recommendation,abs_shift","Recommendations: calibration action ranking"
layer6_duration_posterior_summary.csv,L6,csv,119,"stratum_cause,stratum_corridor","posterior_mu_log,posterior_median_min,ci95_*,valid_flag,fallback_source","Explainability: per-stratum learned duration belief"
layer6_prototype_trust_updates.csv,L6,csv,47,prototype_id,"cause,corridor,trust_updated,trust_delta,r_p","Model Health: prototype trust trajectory"
layer6_feedback_log.csv,L6,csv,1097,event_id,"duration_min,duration_p50,high_impact_prob_calibrated,log_residual","Explainability: actual-vs-predicted backing"
