layer7_output,upstream_source_files,columns_used,transformation,downstream_consumers,flag
layer7_operational_state.csv,layer45_operational_state_vector_normalized.csv;layer5_resource_allocation.csv;layer5_chance_constraint_violations.csv,"tail_risk_prob_z,fragility_signal_z,obi_signal_z,drift_score_z,novelty_score_z,duration_reliability,robustness_score,service_tier,violation_flag",sigmoid logit + discounts + percentile tier,active_site_view;explanation_engine;dashboard_backend;sensor_fusion_readiness,ok
layer7_prioritized_alerts.csv,layer6_active_alerts.csv;layer6_retrain_triggers.csv;layer6_drift_report.csv;layer5_chance_constraint_violations.csv,"severity,affected_layer,variable,generated_at,alert,retrain_urgency,violation_flag",normalize+corroborate+recency,dashboard_backend;digital_twin;sensor_fusion_readiness;operator_queue;explanation_engine,ok
layer7_active_site_state.csv,layer5_resource_allocation.csv;layer7_operational_state.csv,"event_id,event_cause,operational_risk_score,operational_tier,service_tier,robustness_score",left-join + within-subset rank,decision_confidence;digital_twin;explanation_engine;dashboard_backend,ok
layer7_override_impact_report.csv,layer7_override_audit_log.csv;layer5_shadow_prices.csv;layer7_operational_state.csv;layer7_prioritized_alerts.csv,"delay_proxy,risk_proxy,alert_proxy",batch min-max -> OIS,override_impact_extended;scenario_simulator,ok
layer7_override_impact_extended.csv,layer7_override_impact_report.csv,"delay_proxy,risk_proxy,alert_proxy,ois",absolute anchoring,governance;operator_queue;scenario_simulator;dashboard_backend,ok
layer7_decision_confidence.csv,layer7_active_site_state.csv;layer45_duration_quality.csv;layer6_posterior_uncertainty.csv,"robustness_score,duration_reliability,ci95_width_log(by cause)",product of 3 factors,twin_confidence;operator_queue;governance;digital_twin;sensor_fusion_readiness,ok
layer7_twin_scenarios.csv,layer7_counterfactual_analysis.csv;layer5_resource_allocation.csv;layer7_active_site_state.csv,"expected_*_delta,effectiveness,operational_risk_score",0.5-centred component scores,plan_comparison;dashboard_backend(frontend),ok
layer7_twin_scenarios_full.csv,(internal of scenario_simulator),all SS components,write+read,plan_comparison,AUX/UNDOCUMENTED (not in M6 output spec; internal only)
layer7_scenario_ranking.csv,layer7_twin_scenarios_full.csv,simulation_score,argmin/argmax per site,dashboard_backend(frontend),ORPHAN-LIKE (deterministic; all best=S7 all worst=S6)
layer7_plan_comparison.csv,layer7_twin_scenarios_full.csv,simulation_score+deltas,baseline vs best-alt,dashboard_backend(frontend),LOW-INFO (always prefer_alternative=S7)
layer7_twin_confidence.csv,layer7_decision_confidence.csv,"decision_confidence_score,robustness_component,uncertainty_component",weighted sum,(terminal; not consumed downstream),ORPHAN (no downstream consumer; double-counts DCS terms)
layer7_sensor_fusion_readiness.csv,layer7_active_site_state.csv;layer7_decision_confidence.csv;layer7_prioritized_alerts.csv;layer6_drift_report.csv,"operational_risk_score,uncertainty_component,alert count,retrain_urgency",weighted SVI,dashboard_backend(frontend),ok
layer7_governance_summary.csv,layer7_override_audit_log.csv;layer7_override_impact_extended.csv;layer7_prioritized_alerts.csv;layer7_decision_confidence.csv;layer6_drift_report.csv,"approval_status,absolute_ois,override_type,tier",rate metrics,observability;deployment_readiness,ok (but alert_ack denom + high_impact threshold suspect)
layer7_operator_action_queue.csv,active_site_tiers;decision_confidence;prioritized_alerts;override_impact_extended;override_audit_log;drift_report,"tier,DCS tier,priority,absolute_ois",priority bands,(terminal),ok (priority-4 band structurally empty)
CIRCULAR_DEPENDENCY_CHECK,n/a,n/a,n/a,n/a,NONE FOUND (strictly forward DAG L5/L6 -> L7 -> frontend)
UPSTREAM_MUTATION_CHECK,n/a,n/a,n/a,n/a,NONE (all upstream read-only; verified by SHA across M1-M7)
DUPLICATE_OUTPUTS,outputs/ vs outputs/frontend/,n/a,intentional curated copies,n/a,"twin_scenarios + several pages duplicated to frontend (by design)"
