module,milestone,purpose,key_inputs,key_outputs,dependencies,mathematical_formulation
layer7_config.py,M1,Shared constants/paths + namespace guard,none,none,none,"constants only"
layer7_loader.py,M1,Defensive ingestion + schema/freshness audit,L5/L6 CSVs + L4.5 JOSV,"layer7_input_audit.csv,layer7_schema_inventory.csv,layer7_data_freshness.csv",config,"md5 schema hash; mtime/generated_at freshness"
layer7_operational_state.py,M1,Operational Risk Score + global tiers,layer45_operational_state_vector_normalized.csv;layer5_resource_allocation.csv;layer5_chance_constraint_violations.csv,"layer7_operational_state.csv,layer7_site_risk_ranking.csv,layer7_state_summary.csv",loader,"ORS=100*sigmoid(0.30*tail_z+0.20*frag_z+0.15*obi_z+0.15*drift_z+0.10*nov_z+0.10*crit_alert)*(1-0.5*rob)*(1-0.3*(1-rel)); tiers by percentile"
layer7_alert_prioritization.py,M1,Alert Severity Score + P1-P4,layer6_active_alerts.csv;layer6_retrain_triggers.csv;layer6_drift_report.csv;layer5_chance_constraint_violations.csv,"layer7_prioritized_alerts.csv,layer7_alert_summary.csv,layer7_alert_diagnostics.csv",loader,"ASS=base_severity*corroboration_factor*recency_factor (IMPLEMENTED multiplicative; spec doc is additive) "
layer7_active_site_view.py,M1.1,Restrict ranking to 50 L5 active sites,layer5_resource_allocation.csv;layer7_operational_state.csv,"layer7_active_site_state.csv,layer7_active_site_ranking.csv,layer7_active_site_validation.csv",operational_state,"within-subset percentile rank"
layer7_override_engine.py,M2,Override schema/safety + relative OIS,layer5_resource_allocation.csv;layer5_shadow_prices.csv;layer7_prioritized_alerts.csv;layer7_operational_state.csv,"layer7_override_audit_log.csv,layer7_override_impact_report.csv,layer7_override_safety_report.csv,layer7_override_templates.csv,layer7_override_diagnostics.csv",operational_state,"OIS=0.40*norm|dD|+0.35*norm|dR|+0.25*norm|dA| (batch min-max)"
layer7_explanation_engine.py,M3,Risk/resource/alert explanations + active tier + absolute OIS,layer7_operational_state.csv;layer7_active_site_state.csv;layer5_*;layer7_override_impact_report.csv,"layer7_site_explanations.csv,layer7_resource_explanations.csv,layer7_alert_explanations.csv,layer7_active_site_tiers.csv,layer7_override_impact_extended.csv",operational_state;override_engine,"share_i=|contrib_i|/sum|contrib|; absolute_ois anchored to L5 ranges; active tier top10/20/30/rest"
layer7_counterfactual_engine.py,M3,5 surrogate counterfactual scenarios,layer5_resource_allocation.csv;layer7_active_site_state.csv;layer7_prioritized_alerts.csv,layer7_counterfactual_analysis.csv,explanation_engine,"deltas vs recommended baseline using shadow prices + effectiveness"
layer7_dashboard_backend.py,M4,Per-page dashboard exports + manifest,M1/M2/M3 + L5/L6 outputs,"outputs/frontend/layer7_{operations_overview,active_alerts,resource_recommendations,override_history,model_health,counterfactuals}.csv;layer7_dashboard_manifest.json",many,"join/denormalize only"
layer7_api.py,M4,Read-only FastAPI over exports,frontend exports,"HTTP JSON (no files)",dashboard_backend,"file->records passthrough"
layer7_api_extensions.py,M5,Augment M4 app + OpenAPI/catalog,frontend exports;decision_confidence;optimization_metrics,"layer7_openapi_snapshot.json,layer7_endpoint_catalog.csv (via m5_run)",api;dashboard_backend,"none (routing)"
layer7_api_validation.py,M5,Exercise API with good/bad inputs,frontend exports,layer7_api_validation_report.csv,api;api_extensions,"case pass/fail"
layer7_api_audit.py,M5,Append-only API call log,providers,layer7_api_audit_log.csv,api;api_extensions,"timed provider calls"
layer7_decision_confidence.py,M5,Decision Confidence Score,layer7_active_site_state.csv;layer5_resource_allocation.csv;layer45_duration_quality.csv;layer6_posterior_uncertainty.csv,layer7_decision_confidence.csv,active_site_view,"DCS=(1-norm_unc)*robustness*duration_reliability; tiers=terciles"
layer7_operator_queue.py,M5,Priority-banded operator action queue,active_site_tiers;decision_confidence;prioritized_alerts;override_impact_extended;drift_report,layer7_operator_action_queue.csv,decision_confidence,"5 priority bands"
layer7_service_monitor.py,M5,Service health rollup,api;frontend;manifest,layer7_service_health.csv,api_extensions,"status flags"
layer7_governance.py,M5,Governance KPI summary,override_audit_log;override_impact_extended;prioritized_alerts;decision_confidence;drift_report,layer7_governance_summary.csv,decision_confidence,"5 rate metrics"
layer7_digital_twin.py,M6,DigitalTwinState per active site,active_site_state;active_site_tiers;decision_confidence;resource_allocation;prioritized_alerts;override_audit_log,layer7_digital_twin_state.csv,M5,"snapshot assembly"
layer7_scenario_library.py,M6,8-scenario catalog,none,layer7_scenario_catalog.csv,none,"declarative"
layer7_scenario_simulator.py,M6,Simulate 8 scenarios x site + ranking,counterfactual_analysis;resource_allocation;decision_confidence;active_site_state;prioritized_alerts,"layer7_twin_scenarios.csv,layer7_twin_scenarios_full.csv,layer7_scenario_ranking.csv",scenario_library;explanation_engine,"SS=0.35*delay+0.30*risk+0.15*alert+0.10*override+0.10*confidence; score=clip(0.5+0.5*delta/anchor)"
layer7_plan_comparison.py,M6,Current vs best-alternative plan,layer7_twin_scenarios_full.csv,layer7_plan_comparison.csv,scenario_simulator,"alt = lowest-SS non-baseline"
layer7_twin_confidence.py,M6,Twin Confidence Score,layer7_decision_confidence.csv,layer7_twin_confidence.csv,decision_confidence,"TCS=0.4*DCS+0.3*robustness+0.3*(1-uncertainty)"
layer7_operator_sandbox.py,M6,Hypothetical override testing,site context;shadow prices,"layer7_sandbox_results.csv,layer7_sandbox_validation.csv",scenario_simulator,"shadow-price/diversion deltas"
