alert_id,priority,severity,root_cause,corroboration_sources,alert_explanation,generated_at
drift_report::DRIFT_MEAN_SHIFT_ZTEST_LOG_DURATION,P1,critical,layer4.5::log_duration (affected=Layer4.5),active_alerts;drift_report;retrain_triggers,P1 critical alert on topic 'layer4.5::log_duration' affecting Layer4.5. Corroborated by 3 source(s): active_alerts;drift_report;retrain_triggers. Severity = base 0.90 x corroboration 1.45 x recency 0.61 = ASS 0.551. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
drift_report::DRIFT_PAGE_HINKLEY_LOG_DURATION,P1,critical,layer4.5::log_duration (affected=Layer4.5),active_alerts;drift_report;retrain_triggers,P1 critical alert on topic 'layer4.5::log_duration' affecting Layer4.5. Corroborated by 3 source(s): active_alerts;drift_report;retrain_triggers. Severity = base 0.90 x corroboration 1.45 x recency 0.61 = ASS 0.551. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DRIFT_MEAN_SHIFT_ZTEST_LOG_DURATION,P1,critical,layer4.5::log_duration (affected=Layer4.5),active_alerts;drift_report;retrain_triggers,P1 critical alert on topic 'layer4.5::log_duration' affecting Layer4.5. Corroborated by 3 source(s): active_alerts;drift_report;retrain_triggers. Severity = base 0.90 x corroboration 1.45 x recency 0.53 = ASS 0.481. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DRIFT_PAGE_HINKLEY_LOG_DURATION,P1,critical,layer4.5::log_duration (affected=Layer4.5),active_alerts;drift_report;retrain_triggers,P1 critical alert on topic 'layer4.5::log_duration' affecting Layer4.5. Corroborated by 3 source(s): active_alerts;drift_report;retrain_triggers. Severity = base 0.90 x corroboration 1.45 x recency 0.53 = ASS 0.481. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::HEALTH_MEAN_SHIFT_ZTEST_LOG_DURATION,P1,critical,layer4.5::log_duration (affected=drift),active_alerts;drift_report;retrain_triggers,P1 critical alert on topic 'layer4.5::log_duration' affecting drift. Corroborated by 3 source(s): active_alerts;drift_report;retrain_triggers. Severity = base 0.90 x corroboration 1.45 x recency 0.53 = ASS 0.481. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::HEALTH_PAGE_HINKLEY_LOG_DURATION,P1,critical,layer4.5::log_duration (affected=drift),active_alerts;drift_report;retrain_triggers,P1 critical alert on topic 'layer4.5::log_duration' affecting drift. Corroborated by 3 source(s): active_alerts;drift_report;retrain_triggers. Severity = base 0.90 x corroboration 1.45 x recency 0.53 = ASS 0.481. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DRIFT_MEAN_SHIFT_ZTEST_LOG_DURATION,P1,critical,layer4.5::log_duration (affected=Layer4.5),active_alerts;drift_report;retrain_triggers,P1 critical alert on topic 'layer4.5::log_duration' affecting Layer4.5. Corroborated by 3 source(s): active_alerts;drift_report;retrain_triggers. Severity = base 0.90 x corroboration 1.45 x recency 0.53 = ASS 0.481. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DRIFT_PAGE_HINKLEY_LOG_DURATION,P1,critical,layer4.5::log_duration (affected=Layer4.5),active_alerts;drift_report;retrain_triggers,P1 critical alert on topic 'layer4.5::log_duration' affecting Layer4.5. Corroborated by 3 source(s): active_alerts;drift_report;retrain_triggers. Severity = base 0.90 x corroboration 1.45 x recency 0.53 = ASS 0.481. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
cc_violations::CCV_FKID006955,P1,critical,layer5::event:fkid006955 (affected=Layer5),cc_violations,P1 critical alert on topic 'layer5::event:fkid006955' affecting Layer5. Corroborated by 1 source(s): cc_violations. Severity = base 0.90 x corroboration 1.15 x recency 0.61 = ASS 0.437. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_CONSTRUCTION_ORR_EAST_1,P2,critical,dur_shift::construction_orr_east_1 (affected=Layer4.5),active_alerts;retrain_triggers,P2 critical alert on topic 'dur_shift::construction_orr_east_1' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.90 x corroboration 1.30 x recency 0.53 = ASS 0.431. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
