finding_id,module,severity,issue,evidence,impact,recommended_fix
F-001,M1 operational_state (ORS),Critical,Single-feature dominance: ORS is effectively a monotone transform of tail_risk_prob_z,"mean |contribution| share: tail_risk_prob_z=0.94, obi=0.04, fragility=0.01, drift=0.008, novelty=0.002, critical_alert=0.000","ORS does not reflect fragility/OBI/drift/novelty; weights are nominal only; downstream (active view, DCS, twin, SVI, future sensor fusion/GNN) inherit a one-signal score","Standardize each z input to comparable scale before weighting (re-z within batch) or cap/winsorize tail_z; verify post-fix contribution balance"
F-002,M1 alert_prioritization (ASS),High,ASS implementation diverges from documented math spec AND is unbounded,"impl = base*corroboration*recency (multiplicative); math_specification.md S5.2 = base*(1+bc(corr-1)+bu*u+bf*f) (additive) with clip[0,1]; observed ASS up to 1.2623 (9 alerts >1.0)","Documentation does not describe actual behaviour; ASS labelled bounded[0,1] but exceeds 1; cross-batch comparability unclear","Reconcile spec vs code (pick one formula); clip or renormalize ASS to [0,1]; update math_specification.md"
F-003,M1 alert_prioritization,High,P1 inflation / priority saturation,"23/73 alerts (31.5%) are P1; any corroborated critical (base 0.9 x corr>=1.45) exceeds the 0.85 P1 cut","P1 loses meaning as a triage tier; operators face an alert flood of P1s","Recalibrate priority cut-points on the realized ASS distribution; reserve P1 for top quantile; separate severity from corroboration in tiering"
F-004,M3/M5/M6 absolute OIS band,High,High-impact override band is structurally unreachable,"absolute_ois max=0.29 (anchored to large L5 ranges); governance high_impact_override_rate uses >=0.50, operator_queue priority-4 uses >=0.50, M3 impact_level High/Critical needs >=0.50 -> all always 0/empty","high_impact_override_rate is a dead metric (always 0); operator-queue high-impact band never populates; impact_level never reaches High/Critical","Recalibrate thresholds to the absolute_ois anchor scale (e.g. data-driven quantiles) or rescale anchors so the [0,1] range is used"
F-005,M6 twin_confidence (TCS),High,Double counting of robustness and uncertainty,"TCS=0.4*DCS+0.3*robustness+0.3*(1-uncertainty) but DCS=(1-uncertainty)*robustness*reliability -> both terms appear inside DCS and again standalone","TCS over-weights robustness/uncertainty; not an independent confidence axis; misleads twin trust","Define TCS from independent signals (e.g. simulation coverage, scenario stability, data freshness) OR drop DCS term to avoid recursion"
F-006,M1 operational_state scope,Medium,ORS ranking mixes 3498 deployment events with 50 active sites; only active sites get robustness discount,"site_risk_ranking top rows are in_layer5=False (no discount); 50 active sites buried; in_layer5 sum=50/3498","Headline operational ranking is dominated by non-actionable events; operators may misread top sites","Provide an active-only ORS view as primary; or apply a neutral robustness prior to non-L5 events; document scope on the ranking"
F-007,M1/M2 global tiering,Medium,Active sites collapse to global Normal tier,"49/50 active sites = Normal in operational_tier (global percentile); only M3 active_operational_tier spreads them","Global tier shown in active_site_state/dashboard understates active-site urgency; potential operator complacency","Use active_operational_tier as the active-site tier everywhere; deprecate global tier on active-site views"
F-008,M5/M6 tiering pattern,Medium,Tercile tiering forces equal thirds regardless of absolute level,"DCS 17/17/16, TCS 17/17/16, SVI 17/17/16; 'High' DCS at absolute 0.33","Tiers convey rank not absolute confidence; a 'High' label can correspond to objectively low confidence -> false reassurance","Add absolute thresholds alongside rank tiers; or label tiers as relative; surface raw score with tier"
F-009,M5 decision_confidence,Medium,DCS score compression,"DCS = product of three [0,1] -> range 0.1227-0.3311, mean 0.2218; structurally cannot be high","Absolute confidence is uniformly low yet tiered High/Moderate/Low; misleading to operators and to twin/SVI consumers","Use geometric mean or weighted sum instead of raw product to keep score on an interpretable scale"
F-010,M1 alert_prioritization recency,Medium,Recency factor near-constant and environment-dependent,"only 2 distinct recency_factor values across 73 alerts; L6 alerts share one batch generated_at; non-L6 feeds use file mtime","Recency cannot differentiate alerts within a batch; mtime makes scores change if files are copied/moved","Use event-time from payload where available; make recency robust to file operations; document batch semantics"
F-011,M6 digital twin,Medium,Deterministic scenario outcome (every site best=S7 worst=S6),"best_scenario_id S7=50/50; worst S6=50/50; plan_comparison prefer_alternative=50/50 (all S7); mean SS monotone S7<...<S6","Ranking and plan-comparison are tautological (S7 defined all-improving, S6 all-worsening) -> no per-site decision value","Mathematically expected, not a bug; reframe twin output as sensitivity not ranking; remove/relabel always-S7 recommendation"
F-012,M2 override_engine governance,Medium,No approval-state transition enforcement,"safety only checks status in {proposed,approved,rejected,executed,expired}; OVR-0004 status=executed with no approved lineage, unflagged","An override can be marked executed without recorded approval; governance trail incomplete","Add transition rules (executed requires prior approved; rejected terminal); flag illegal transitions"
F-013,M5 governance metric,Medium,alert_acknowledgement_rate denominator misleading,"1/73 = 0.0137; 72 of 73 alerts are system-level (not per-event acknowledgeable)","KPI structurally near-zero; not actionable; misrepresents operator engagement","Use acknowledgeable (event-keyed) alerts as denominator; or report ack count not rate"
F-014,Cross-layer (M1-M6),Medium,Layer 7 ignores Layer 6 / 4.5 data-quality gating,"grep: no L7 module reads quarantine_report/posterior_integrity/valid_flag/duration_sanity_flag; only point estimates + posterior_uncertainty consumed","Operational decisions/alerts/overrides do not down-weight rows L6 quarantined or flagged unsafe; partial 'degrade when uncertainty rises'","Consume duration_sanity_flag/valid_flag/quarantine into a quality gate on ORS/recommendations"
F-015,M1 operational_state,Medium,critical_alert_indicator term is effectively dead,"contribution share 0.000; only chance-constraint violations are event-keyed (1 event)","0.10-weight ORS term contributes nothing for ~all sites; nominal weight misleading","Broaden the event-keyed critical signal or remove the term and renormalize weights"
F-016,M3 override relative OIS,Low,Batch min-max normalization not comparable across batches,"relative_ois = batch min-max; single-override batch -> 0","Relative OIS values not stable/comparable run-to-run; dashboards may mislead over time","Prefer absolute_ois for cross-batch comparison; label relative_ois as within-batch only"
F-017,M4 dashboard_backend,Low,model_health page mixes numeric and blank cells,"upstream-missing values rendered as '' (NaN->''); no-NaN check covers key columns only","Cosmetic; blank cells may confuse dashboard rendering/sorting","Use explicit null sentinel or typed columns; document blank semantics"
F-018,M4/M5 API,Low,Endpoint naming inconsistency (/health vs /healthz),"/health returns model-health list (M4); /healthz returns status object (M5) to preserve back-compat","Consumers may expect /health to be liveness; potential confusion","Document clearly in OpenAPI; consider /health/model alias; keep back-compat"
F-019,M6 operator_sandbox,Low,reduction-below-zero check uses fixed threshold not actual allocation,"flag fires only when delta_units>12; twin does not track current per-resource counts","A reduction larger than current allocation may pass unflagged","Join current per-resource allocation; flag when reduction exceeds current units"
F-020,M6 scenario_simulator,Low,override/confidence SS components near-constant,"override_score=0.5 except S5; confidence_score fixed per-scenario constant -> 0.10+0.10 weights barely discriminate","SS effectively driven by delay+risk (0.65 of weight); override/confidence weights add little signal","Make override/confidence components site-varying or reduce their weights"
F-021,M6 outputs,Low,Undocumented auxiliary output,"layer7_twin_scenarios_full.csv is internal (consumed by plan_comparison) but not in documented M6 output list","Minor inventory/doc gap; harmless","Document as internal artifact or fold into twin_scenarios"
