alert_id,source,severity,affected_layer,description,generated_at
DRIFT_MEAN_SHIFT_ZTEST_LOG_DURATION,layer6_drift_detection,critical,Layer4.5,RETRAIN_TRIGGER: Mean log-duration shifted by z=3.21 standard errors. Layer 4.5 global prior should be updated.,2026-06-18T23:39:58Z
DRIFT_PAGE_HINKLEY_LOG_DURATION,layer6_drift_detection,critical,Layer4.5,RETRAIN_TRIGGER: Page-Hinkley detects shift in log-duration sequence. Recommend updating Layer 4.5 duration priors.,2026-06-18T23:39:58Z
DUR_SHIFT_CONSTRUCTION_TUMKUR_ROAD,layer6_bayesian_duration,critical,Layer4.5,Stratum 'construction × Tumkur Road': posterior_mu shifted +7.743 log-units (6.2 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
DUR_SHIFT_OTHERS_OLD_MADRAS_ROAD,layer6_bayesian_duration,critical,Layer4.5,Stratum 'others × Old Madras Road': posterior_mu shifted +2.243 log-units (5.1 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
DUR_SHIFT_POT_HOLES_CBD_1,layer6_bayesian_duration,critical,Layer4.5,Stratum 'pot_holes × CBD 1': posterior_mu shifted -6.407 log-units (4.9 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
DUR_SHIFT_POT_HOLES_CBD_2,layer6_bayesian_duration,critical,Layer4.5,Stratum 'pot_holes × CBD 2': posterior_mu shifted -9.783 log-units (9.1 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
L5_CHANCE_CONSTRAINT_VIOLATION,layer5_chance_constraint_violations,critical,Layer5,1 event(s) violated chance constraints (mean margin=-0.140). Layer 5 epsilon parameters or risk tiers may need adjustment. Review duration quantile accuracy for critical-tier events.,2026-06-18T23:39:58Z
HEALTH_PAGE_HINKLEY_LOG_DURATION,layer6_model_health,critical,drift,Health metric 'page_hinkley_log_duration' is CRITICAL. Feedback value: 326.8316.,2026-06-18T23:39:58Z
HEALTH_N_CRITICAL_TRIGGERS,layer6_model_health,critical,retrain_triggers,Health metric 'n_critical_triggers' is CRITICAL. Feedback value: 7.0.,2026-06-18T23:39:58Z
HEALTH_MEAN_SHIFT_ZTEST_LOG_DURATION,layer6_model_health,critical,drift,Health metric 'mean_shift_ztest_log_duration' is CRITICAL. Feedback value: 3.2097.,2026-06-18T23:39:58Z
CALIB_BIN_7_SHIFT,layer6_calibration_updates,moderate,Layer4.5,"Bin [0.7,0.8]: posterior mean=0.500, raw pred=0.750 (shift=-0.250). Posterior updated; consider recalibration pass.",2026-06-18T23:39:58Z
DRIFT_PSI_HOUR_LOCAL,layer6_drift_detection,moderate,Layer4.5,RETRAIN_TRIGGER: PSI=0.1526 on 'hour_local' indicates moderate distributional shift.,2026-06-18T23:39:58Z
DUR_SHIFT_ACCIDENT_BELLARY_ROAD_2,layer6_bayesian_duration,moderate,Layer4.5,Stratum 'accident × Bellary Road 2': posterior_mu shifted +0.809 log-units (1.5 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
DUR_SHIFT_CONGESTION_HENNUR_MAIN_ROAD,layer6_bayesian_duration,moderate,Layer4.5,Stratum 'congestion × Hennur Main Road': posterior_mu shifted +0.578 log-units (1.5 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
DUR_SHIFT_CONSTRUCTION_ORR_WEST_1,layer6_bayesian_duration,moderate,Layer4.5,Stratum 'construction × ORR West 1': posterior_mu shifted -6.067 log-units (1.7 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
CALIB_BIN_1_SHIFT,layer6_calibration_updates,moderate,Layer4.5,"Bin [0.1,0.2]: posterior mean=0.500, raw pred=0.150 (shift=+0.350). Posterior updated; consider recalibration pass.",2026-06-18T23:39:58Z
CALIB_BIN_3_SHIFT,layer6_calibration_updates,moderate,Layer4.5,"Bin [0.3,0.4]: posterior mean=0.500, raw pred=0.350 (shift=+0.150). Posterior updated; consider recalibration pass.",2026-06-18T23:39:58Z
CALIB_BIN_6_SHIFT,layer6_calibration_updates,moderate,Layer4.5,"Bin [0.6,0.7]: posterior mean=0.500, raw pred=0.650 (shift=-0.150). Posterior updated; consider recalibration pass.",2026-06-18T23:39:58Z
DUR_SHIFT_POT_HOLES_NON-CORRIDOR,layer6_bayesian_duration,moderate,Layer4.5,Stratum 'pot_holes × Non-corridor': posterior_mu shifted -3.534 log-units (1.7 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
DUR_SHIFT_OTHERS_OLD_AIRPORT_ROAD,layer6_bayesian_duration,moderate,Layer4.5,Stratum 'others × Old Airport Road': posterior_mu shifted -6.499 log-units (2.6 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
DUR_SHIFT_CONSTRUCTION_WEST_OF_CHORD_ROAD,layer6_bayesian_duration,moderate,Layer4.5,Stratum 'construction × West of Chord Road': posterior_mu shifted -5.803 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
DUR_SHIFT_POT_HOLES_OLD_MADRAS_ROAD,layer6_bayesian_duration,moderate,Layer4.5,Stratum 'pot_holes × Old Madras Road': posterior_mu shifted -1.461 log-units (2.1 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
DUR_SHIFT_PUBLIC_EVENT_NON-CORRIDOR,layer6_bayesian_duration,moderate,Layer4.5,Stratum 'public_event × Non-corridor': posterior_mu shifted -4.972 log-units (2.0 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
DUR_SHIFT_POT_HOLES_ORR_NORTH_1,layer6_bayesian_duration,moderate,Layer4.5,Stratum 'pot_holes × ORR North 1': posterior_mu shifted -4.760 log-units (2.2 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
