trigger_id,source_module,signal_type,variable,test,score,threshold,severity,recommendation,affected_layer,action,generated_at
DRIFT_MEAN_SHIFT_ZTEST_LOG_DURATION,layer6_drift_detection,drift,log_duration,mean_shift_ztest,3.2097,2.0,critical,RETRAIN_TRIGGER: Mean log-duration shifted by z=3.21 standard errors. Layer 4.5 global prior should be updated.,Layer4.5,retrain_duration_model,2026-06-19T10:34:30Z
DRIFT_PAGE_HINKLEY_LOG_DURATION,layer6_drift_detection,drift,log_duration,page_hinkley,326.8316,5.0,critical,RETRAIN_TRIGGER: Page-Hinkley detects shift in log-duration sequence. Recommend updating Layer 4.5 duration priors.,Layer4.5,retrain_duration_model,2026-06-19T10:34:30Z
DUR_SHIFT_CONSTRUCTION_ORR_EAST_1,layer6_bayesian_duration,duration_posterior_shift,construction × ORR East 1,posterior_sigma_shift,15.7001,1.5,critical,Stratum 'construction × ORR East 1': posterior_mu shifted +6.766 log-units (15.7 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_OTHERS_OLD_AIRPORT_ROAD,layer6_bayesian_duration,duration_posterior_shift,others × Old Airport Road,posterior_sigma_shift,5.0367,1.5,critical,Stratum 'others × Old Airport Road': posterior_mu shifted -3.610 log-units (5.0 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_OTHERS_OLD_MADRAS_ROAD,layer6_bayesian_duration,duration_posterior_shift,others × Old Madras Road,posterior_sigma_shift,5.0525,1.5,critical,Stratum 'others × Old Madras Road': posterior_mu shifted +2.243 log-units (5.1 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_POT_HOLES_CBD_1,layer6_bayesian_duration,duration_posterior_shift,pot_holes × CBD 1,posterior_sigma_shift,4.8866,1.5,critical,Stratum 'pot_holes × CBD 1': posterior_mu shifted -6.407 log-units (4.9 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_POT_HOLES_CBD_2,layer6_bayesian_duration,duration_posterior_shift,pot_holes × CBD 2,posterior_sigma_shift,3.6418,1.5,critical,Stratum 'pot_holes × CBD 2': posterior_mu shifted -7.750 log-units (3.6 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
L5_CHANCE_CONSTRAINT_VIOLATION,layer5_chance_constraint_violations,constraint_violation,chance_constraint_satisfaction,realized_satisfaction_rate,-0.14,0.0,critical,1 event(s) violated chance constraints (mean margin=-0.140). Layer 5 epsilon parameters or risk tiers may need adjustment. Review duration quantile accuracy for critical-tier events.,Layer5,review_risk_tiers,2026-06-19T10:34:30Z
CALIB_BIN_1_SHIFT,layer6_calibration_updates,calibration_bin,"bin_1 [0.1,0.2]",beta_posterior_shift,0.35,0.1,moderate,"Bin [0.1,0.2]: posterior mean=0.500, raw pred=0.150 (shift=+0.350). Posterior updated; consider recalibration pass.",Layer4.5,recalibrate_bin,2026-06-19T10:34:30Z
CALIB_BIN_3_SHIFT,layer6_calibration_updates,calibration_bin,"bin_3 [0.3,0.4]",beta_posterior_shift,0.15,0.1,moderate,"Bin [0.3,0.4]: posterior mean=0.500, raw pred=0.350 (shift=+0.150). Posterior updated; consider recalibration pass.",Layer4.5,recalibrate_bin,2026-06-19T10:34:30Z
